Date,SPY_Open,SPY_Close,Signal,Z_Score
2018-12-28,225.11896832332044,223.46832275390625,0,
2018-12-31,225.10094176816315,225.4256591796875,0,
2019-01-02,221.87179588811404,225.66015625,0,
2019-01-03,223.90129414990102,220.27529907226562,0,
2019-01-04,223.32401879427337,227.65357971191406,0,
2019-01-07,227.92414957546538,229.44851684570312,0,
2019-01-08,231.64937938021197,231.60426330566406,0,
2019-01-09,232.31687155669513,232.6866912841797,0,
2019-01-10,231.14430967565727,233.5075225830078,0,
2019-01-11,232.42508171229733,233.59768676757812,0,
2019-01-14,231.68546339558426,232.17254638671875,0,
2019-01-15,232.5513982231496,234.83343505859375,0,
2019-01-16,235.26635166254192,235.40167236328125,0,
2019-01-17,234.52676427897856,237.1876220703125,0,
2019-01-18,239.00962940531736,240.3445587158203,0,
2019-01-22,238.86535019095635,237.09742736816406,0,
2019-01-23,238.13473667306982,237.59353637695312,0,
2019-01-24,237.41314434802976,237.71981811523438,0,
2019-01-25,239.57788106629977,239.73123168945312,0,
2019-01-28,237.57547786184674,237.90921020507812,0,
2019-01-29,238.0535607576409,237.59353637695312,0,
2019-01-30,239.11787676556534,241.35479736328125,0,
2019-01-31,241.2916536882626,243.47445678710938,0,
2019-02-01,243.67295753446578,243.59178161621094,0,
2019-02-04,243.63679199080403,245.30548095703125,0,
2019-02-05,245.73843811091172,246.33375549316406,0,
2019-02-06,246.05425610324272,246.00914001464844,0,
2019-02-07,244.38553775543153,243.66395568847656,0,
2019-02-08,242.4101522933993,243.96157836914062,0,
2019-02-11,244.6200178309107,244.0968475341797,0,
2019-02-12,245.72050094962657,247.23583984375,0,
2019-02-13,248.0746615775318,248.03857421875,0,
2019-02-14,246.9471268509823,247.4883270263672,0,
2019-02-15,249.2743131912077,250.18533325195312,0,
2019-02-19,249.38250173210025,250.61822509765625,0,
2019-02-20,250.58215187124804,251.12335205078125,0,
2019-02-21,250.48299469502996,250.23043823242188,0,
2019-02-22,250.8527829030626,251.7818603515625,0,
2019-02-25,253.21601726045242,252.1245880126953,0,
2019-02-26,251.77286381668554,251.94424438476562,0,
2019-02-27,251.22265393385223,251.83602905273438,0,
2019-02-28,251.61943874038147,251.36688232421875,0,
2019-03-01,252.9544160229478,252.93638610839844,0,
2019-03-04,254.00079537977408,252.0164031982422,0,
2019-03-05,252.14259118098514,251.6735382080078,0,
2019-03-06,251.79084634318414,250.1492156982422,0,
2019-03-07,249.69819782062467,248.0565948486328,0,
2019-03-08,246.18946918746795,247.56048583984375,0,
2019-03-11,248.28211094068314,251.1504364013672,0,
2019-03-12,251.70960835888422,252.0974578857422,0,
2019-03-13,252.990551239176,253.76625061035156,0,
2019-03-14,253.79324649439,253.6038360595703,0,
2019-03-15,254.15919854118562,254.85678100585938,0,
2019-03-18,255.07423275441627,255.7808837890625,0,
2019-03-19,256.84993401331946,255.84429931640625,0,
2019-03-20,255.62697835196605,255.07432556152344,0,
2019-03-21,254.24977980447457,257.9551696777344,0,
